Amazon_BookTitle,Amazon_BookAuthor,Amazon_Rating,Amazon_Reviews Count,Amazon_Isbn-10,Amazon_Price,Flipkart_BookTitle,Flipkart_BookAuthor,Flipkart_Ratings,Flipkart_Reviews Count,Flipkart_Isbn-10,Flipkart_Price
Great Stories for Children, Ruskin Bond,4.4,217,8129118920,182,Great Stories for Children, Ruskin Bond,4.4,2909,8129118920,118
Creative Doodle Colouring - Animals & Birds, Dreamland Publications,4.7,11,9350897954,140,Creative Doodle Colouring - Animals & Birds, Dreamland Publications,4.6,35,9350897954,140
"Coloring Mandalas 2: For Balance, Harmony, and Spiritual Well-Being (An Adult...", Susanne F. Fincher,3.9,2,1590300866,610,"Coloring Mandalas 2: For Balance, Harmony, and Spiritual Well-Being (An Adult...", Susanne F. Fincher,4.2,0,1590300866,820
Sita: Warrior of Mithila (Ram Chandra), Amish Tripathi,4.3,1817,9386224585,226,Sita: Warrior of Mithila (Ram Chandra), Amish Tripathi,4.6,7022,9386224585,226
How to Be an Adult in Relationships: The Five Keys to Mindful Loving, David Richo,5,1,1570628122,689,How to Be an Adult in Relationships: The Five Keys to Mindful Loving, David Richo, ,23,1570628122,765
Eleven Minutes, Paulo Coelho,4.2,234,8172235631,167,Eleven Minutes, Paulo Coelho,4.4,2201,8172235631,209
The Animal Book: A Visual Encyclopedia of Life on Earth (Reference), DK,4.8,19,1409323498,781,The Animal Book: A Visual Encyclopedia of Life on Earth (Reference), DK,4.6,5,1409323498,563
The Power of Your Subconscious Mind: Unlock Your Master Key to Success, Joseph Murphy,4.5,5009,8172345666,75,The Power of Your Subconscious Mind: Unlock Your Master Key to Success, Joseph Murphy,4.5,631,8172345666,169
Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated..., Amish Tripathi,4.1,4651,9385152149,240,Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated..., Amish Tripathi,4.4,6160,9385152149,240
The Rise of Sivagami: Book 1 of Baahubali - Before the Beginning, Anand Neelakantan,4.1,793,9386224445,162,The Rise of Sivagami: Book 1 of Baahubali - Before the Beginning, Anand Neelakantan,4.4,2442,9386224445,162
Murder in a Minute, Shouvik Bhattacharya,4.4,277,9386643723,188,Murder in a Minute, Shouvik Bhattacharya,4.4,338,9386643723,162
Alice’s Adventures in Wonderland, Lewis Carroll,4,119,8175992980,89,Alice’s Adventures in Wonderland, Lewis Carroll,4.8,16,8175992980,119
Harappa - Curse of the Blood River, Vineet Bajpai,4.1,680,9352685482,185,Harappa - Curse of the Blood River, Vineet Bajpai,4.4,614,9352685482,132
Harry Potter and the Philosopher's Stone, J.K. Rowling,4.7,1097,1408855658,299,Harry Potter and the Philosopher's Stone, J.K. Rowling,4.6,5577,1408855658,234
Geronimo Stilton and the Kingdom of Fantasy #8 - The Hour of Magic, Geronimo Stilton,4.6,329,9385887815,274,Geronimo Stilton and the Kingdom of Fantasy #8 - The Hour of Magic, Geronimo Stilton,4.5,626,9385887815,360
The Dragon of Fortune (Geronimo Stilton and the Kingdom of Fantasy: Special Edition..., Geronimo Stilton,4.6,285,9352751183,510,The Dragon of Fortune (Geronimo Stilton and the Kingdom of Fantasy: Special Edition..., Geronimo Stilton,4.6,1132,9352751183,510
The Crab with Golden Claws (Tintin), Herge,4.7,29,1405206209,279,The Crab with Golden Claws (Tintin), Herge,4.8,186,1405206209,285
Suppandi - 3: The Laughter Never Ends, Rajani Thindiath,4.7,59,9350853736,76,Suppandi - 3: The Laughter Never Ends, Rajani Thindiath,4.4,175,9350853736,76
The adventures of Tintin: King Ottokar's Sceptre, Herge,4.6,32,1405206195,379,The adventures of Tintin: King Ottokar's Sceptre, Herge,4.7,128,1405206195,399
Circe: The Sunday Times Bestseller, Madeline Miller,4.3,47,1526603330,364,Circe: The Sunday Times Bestseller, Madeline Miller,4.5,148,1526603330,388
Bloodline, Sidney Sheldon,4.3,67,8172234864,280,Bloodline, Sidney Sheldon,4.5,362,8172234864,280
Geronimo Stilton #58: The Super Chef Contest, Geronimo Stilton,4.2,66,9351033287,186,Geronimo Stilton #58: The Super Chef Contest, Geronimo Stilton,4.5,307,9351033287,186
The Jungle Book (First Stories), Miriam Bos,4.4,71,1509808361,224,The Jungle Book (First Stories), Miriam Bos,4.8,5,1509808361,186
Peppa Pig: Amazing Adventures Sticker Book, NA,4.8,11,1409312135,194,Peppa Pig: Amazing Adventures Sticker Book, NA,4.5,11,1409312135,186
Swami and Friends, R. K. Narayan,4.6,204,8185986002,114,Swami and Friends, R. K. Narayan,4.4,1423,8185986002,112
The Secret Of The Nagas (Shiva Trilogy-2), Amish Tripathi - Abridged,4.6,1681,9381626340,244,The Secret Of The Nagas (Shiva Trilogy-2), Amish Tripathi - Abridged,4.6,6674,9381626340,244
The Oath of the Vayuputras (Shiva Trilogy), Amish Tripathi,4.4,1608,9382618341,282,The Oath of the Vayuputras (Shiva Trilogy), Amish Tripathi,4.4,8408,9382618341,282
Fantastic Beasts: The Crimes of Grindelwald: The Original Screenplay (Fantastic..., J.K. Rowling,4.8,52,1408711702,434,Fantastic Beasts: The Crimes of Grindelwald: The Original Screenplay (Fantastic..., J.K. Rowling,4.8,245,1408711702,434
The Adventures of Tintin Volume 1, Herge,3.7,9,1405282754,784,The Adventures of Tintin Volume 1, Herge,4.6,19,1405282754,649
Harry Potter and the Chamber of Secrets (Harry Potter 2), J.K. Rowling,4.7,562,1408855666,374,Harry Potter and the Chamber of Secrets (Harry Potter 2), J.K. Rowling,4.7,3839,1408855666,374
Keepers of the Kalachakra: Book 5 in the Bharat Series of Historical and Mythological..., Ashwin Sanghi,4,472,9386850648,100,Keepers of the Kalachakra: Book 5 in the Bharat Series of Historical and Mythological..., Ashwin Sanghi,4.4,670,9386850648,231
Harry Potter and the Prisoner of Azkaban (Harry Potter 3), J.K. Rowling,4.4,474,1408855674,374,Harry Potter and the Prisoner of Azkaban (Harry Potter 3), J.K. Rowling,4.6,3250,1408855674,314
Geronimo Stilton - The Hunt for the Golden Book, Geronimo Stilton - Large Print,4.4,179,9351032167,319,Geronimo Stilton - The Hunt for the Golden Book, Geronimo Stilton - Large Print,4.6,690,9351032167,357
Norse Mythology, Neil Gaiman,4.4,108,1526602067,299,Norse Mythology, Neil Gaiman,4.7,105,1526602067,319
The Secret of the Druids (Mahabharata Quest Series Book 2), Christopher C. Doyle,4.1,273,9385724223,179,The Secret of the Druids (Mahabharata Quest Series Book 2), Christopher C. Doyle,4.3,182,9385724223,209
Indian Art and Culture, Nitin Singhania,4.5,391,9387067548,412,Indian Art and Culture, Nitin Singhania,4.6,5444,9387067548,390
Bharatiya Kala Evam Sanskriti, Nitin Singhania,4.6,128,9387067718,370,Bharatiya Kala Evam Sanskriti, Nitin Singhania,4.5,1046,9387067718,370
The Art of War, Sun Tzu,4.3,76,8184950888,175,The Art of War, Sun Tzu,4.3,236,8184950888,210
ICSE Art of Effective English Writing for Classes IX - X, O P Singh,4.6,20,9352534751,316,ICSE Art of Effective English Writing for Classes IX - X, O P Singh,4.5,193,9352534751,316
Trump: The Art of the Deal, Donald Trump,4,51,1784758248,320,Trump: The Art of the Deal, Donald Trump,4.4,63,1784758248,320
All you need is Love: The art of mindful parenting, Shelja Sen,4.3,36,9351770729,225,All you need is Love: The art of mindful parenting, Shelja Sen,4.5,34,9351770729,238
The Bachelor of Arts, R. K. Narayan,4.4,31,8185986010,90,The Bachelor of Arts, R. K. Narayan,4.3,158,8185986010,117
"Ready, Study, Go!: Smart Ways to Learn", Khurshed Batliwala,4.5,444,9352641345,178,"Ready, Study, Go!: Smart Ways to Learn", Khurshed Batliwala,4.4,574,9352641345,178
The Art of Living, Thich Nhat Hanh,4.5,2,1846045096,434,The Art of Living, Thich Nhat Hanh,4.7,26,1846045096,425
Gurudev: On the Plateau of the Peak: The Life of Sri Sri Ravi Shankar, Bhanumathi Narasimhan,4.9,330,9386850575,293,Gurudev: On the Plateau of the Peak: The Life of Sri Sri Ravi Shankar, Bhanumathi Narasimhan,4.7,60,9386850575,327
The Art Of Study, Vijay Agarwal,4.3,17,8190702564,175,The Art Of Study, Vijay Agarwal,4.5,64,8190702564,140
The Orient Blackswan School Atlas with CD, OBS,4.1,479,8125056866,236,The Orient Blackswan School Atlas with CD, OBS,4.4,707,8125056866,299
World Map, Dreamland Publications,4.5,856,8184511213,91,World Map, Dreamland Publications,4.4,48,8184511213,130
"World Atlas: Government Approved Maps of India and the World, for Exams and Competitions...", VS Editorial Board,3.5,2,9357941495,94,"World Atlas: Government Approved Maps of India and the World, for Exams and Competitions...", VS Editorial Board,4.3,35,9357941495,185
Longman School Atlas, Longman,4.1,8,9332510210,286,Longman School Atlas, Longman,4.2,32,9332510210,240
India Map, Dreamland Publications,4.6,594,8184511523,91,India Map, Dreamland Publications,4.3,29,8184511523,104
Disha Children's Yearbook 2018 - General Knowledge Fundamentals and Current Affairs, Disha Experts,4.7,7,9387421007,203,Disha Children's Yearbook 2018 - General Knowledge Fundamentals and Current Affairs, Disha Experts,4.3,42,9387421007,147
Our Earth (Family Reference), NA,2,1,1472311310,325,Our Earth (Family Reference), NA,5,3,1472311310,516
"The Husband's Secret: From the bestselling author of Big Little Lies, now an...", Liane Moriarty,3.6,31,1405911662,221,"The Husband's Secret: From the bestselling author of Big Little Lies, now an...", Liane Moriarty,4.4,44,1405911662,340
The Sealed Nectar: Biography of the Noble Prophet, Safi-ur-Rahman al-Mubarkpuri,4.7,38,9960899551,485,The Sealed Nectar: Biography of the Noble Prophet, Safi-ur-Rahman al-Mubarkpuri,4.6,96,9960899551,290
Numbercaste, Yudhanjaya Wijeratne,4.5,2,9353023335,218,Numbercaste, Yudhanjaya Wijeratne,3,1,9353023335,218
The Power of your Subconscious Mind,Joseph Murphy,4.5,"4,977",8192910962,65,The Power of your Subconscious Mind,Joseph Murphy,4.5,4640,8192910962,94
"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.3,143,9387944891,199,"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.6,895,9387944891,210
Think and Grow Rich,Napoleon Hill,4.6,"3,596",8192910911,64,Think and Grow Rich,Napoleon Hill,4.5,2871,8192910911,94
General Knowledge 2019,Manohar Pandey,4.2,515,9312147307,19,General Knowledge 2019,Manohar Pandey,4.3,8181,9312147307,30
General Knowledge,Not Available,4.4,"2,035",9384761540,156,General Knowledge,Not Available,4.4,6418,9384761540,180
Word Power Made Easy,Norman Lewis,4.4,"5,643",8183071007,76,Word Power Made Easy,Norman Lewis,4.4,25786,8183071007,111
Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.1,"3,310",9352534026,427,Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.4,15290,9352534026,450
The Alchemist,Paulo Coelho,4.6,"3,820",8172234988,182,The Alchemist,Paulo Coelho,4.6,16859,8172234988,209
Manorama Yearbook 2019 ( English),Not Available,4.5,37,8193769716,228,Manorama Yearbook 2019 ( English),Not Available,4.6,1126,8193769716,228
24 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995-2018),Disha Experts,4.3,220,9388026586,270,24 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995-2018),Disha Experts,4.5,2348,9388026586,325
How to Win Friends and Influence People,Dale Carnegie,4.5,"2,640",8192910997,79,How to Win Friends and Influence People,Dale Carnegie,4.5,231,8192910997,130
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,4.6,748,9351772071,105,Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,4.5,5887,9351772071,118
Lucent's General Science (2018-2019) Session,Not Available,4.1,220,9384761141,150,Lucent's General Science (2018-2019) Session,Not Available,4.2,1903,9384761141,183
Wings of Fire: An Autobiography of Abdul Kalam,Not Available,4.6,"2,131",8173711461,194,Wings of Fire: An Autobiography of Abdul Kalam,Not Available,4.6,16362,8173711461,265
The Forest of Enchantments,Chitra Banerjee Divakaruni,4.6,8,9353025982,373,The Forest of Enchantments,Chitra Banerjee Divakaruni,4.9,15,9353025982,373
"Don't Lose Your Mind, Lose Your Weight",Rujuta Diwekar,4.5,"1,003",8184001053,118,"Don't Lose Your Mind, Lose Your Weight",Rujuta Diwekar,4.3,3440,8184001053,143
Life is What You Make It,Preeti Shenoy,4,"2,859",9380349300,75,Life is What You Make It,Preeti Shenoy,4.1,10007,9380349300,86
The Theory of Everything,Stephen Hawking,4.5,531,8179925919,111,The Theory of Everything,Stephen Hawking,4.2,18,8179925919,190
Oswaal CBSE Sample Question Paper Class 10 Science (For March 2019 Exam),Oswaal Editorial Board,4.3,30,9388036662,127,Oswaal CBSE Sample Question Paper Class 10 Science (For March 2019 Exam),Oswaal Editorial Board,4.6,350,9388036662,133
Oswaal CBSE Sample Question Paper Class 10 Mathematics (For March 2019 Exam),Oswaal Editorial Board,4.4,42,9388036689,127,Oswaal CBSE Sample Question Paper Class 10 Mathematics (For March 2019 Exam),Oswaal Editorial Board,4.5,410,9388036689,139
CBSE Chemistry Chapterwise Solved Papers Class 12th,Not Available,4.2,97,9313161419,152,CBSE Chemistry Chapterwise Solved Papers Class 12th,Not Available,4.5,1958,9313161419,161
CBSE Chapterwise Physics Class 12th,Not Available,4.2,87,9313161427,172,CBSE Chapterwise Physics Class 12th,Not Available,4.5,2200,9313161427,182
1984,George Orwell,4.4,738,8192910903,88,1984,George Orwell,4.5,339,8192910903,99
Who Will Cry When You Die?,Robin Sharma,4.4,"2,795",8179922324,103,Who Will Cry When You Die?,Robin Sharma,4.4,5611,8179922324,115
The Great Gatsby,F. Scott Fitzgerald,4.1,338,8172344562,47,The Great Gatsby,F. Scott Fitzgerald,4.4,654,8172344562,142
Oswaal CBSE Sample Question Paper Class 10 Social Science (For March 2019 Exam),Oswaal Editorial Board,4.6,24,9388036670,126,Oswaal CBSE Sample Question Paper Class 10 Social Science (For March 2019 Exam),Oswaal Editorial Board,4.5,248,9388036670,140
Objective NCERT at your Fingertips - Biology,Not Available,4.7,268,9387949222,408,Objective NCERT at your Fingertips - Biology,Not Available,4.4,492,9387949222,570
NTA UGC NET/SET/JRF - Paper 1: Teaching and Research Aptitude by Pearson,KVS Madaan,4.4,505,9332551731,216,NTA UGC NET/SET/JRF - Paper 1: Teaching and Research Aptitude by Pearson,KVS Madaan,4.4,2001,9332551731,249
40 Years' Chapterwise Topicwise Solved Papers (2018-1979) IIT JEE Physics,DC. Pandey,4.1,90,9313163292,191,40 Years' Chapterwise Topicwise Solved Papers (2018-1979) IIT JEE Physics,DC. Pandey,4.5,1603,9313163292,237
High School English Grammar and Composition Book (Regular Edition),Not Available,4.4,883,9352530144,259,High School English Grammar and Composition Book (Regular Edition),Not Available,4.4,1197,9352530144,293
Fast Track Objective Arithmetic,Not Available,4.3,"2,876",9312149830,223,Fast Track Objective Arithmetic,Not Available,4.4,2808,9312149830,266
"The Power of Habit: Why We Do What We Do, and How to Change",Charles Duhigg,4.4,639,1847946240,286,"The Power of Habit: Why We Do What We Do, and How to Change",Charles Duhigg,4.4,1682,1847946240,305
Emotion and Relationships,Sadhguru,4.7,124,9386867508,138,Emotion and Relationships,Sadhguru,4.6,1150,9386867508,159
Rich Dad Poor Dad,Robert T. Kiyosaki,4.5,"3,563",8186775218,135,Rich Dad Poor Dad,Robert T. Kiyosaki,4.4,5259,8186775218,150
Bharat Ki Rajvayvastha,M. Laxmikanth,4.5,673,9352603869,381,Bharat Ki Rajvayvastha,M. Laxmikanth,4.5,3230,9352603869,385
40 Years' Chapterwise Topicwise Solved Papers (2018-1979) IIT JEE Mathematics,Amit M. Agarwal,4.2,91,9313163314,200,40 Years' Chapterwise Topicwise Solved Papers (2018-1979) IIT JEE Mathematics,Amit M. Agarwal,4.5,1636,9313163314,237
The Secret,Rhonda Byrne,4.5,"1,605",1847370292,415,The Secret,Rhonda Byrne,4.5,6680,1847370292,498
40 Years Chapterwise Topicwise Solved Papers (2018-1979) IIT JEE Chemistry,Ranjeet Shahi,4.4,91,9313163306,225,40 Years Chapterwise Topicwise Solved Papers (2018-1979) IIT JEE Chemistry,Ranjeet Shahi,4.5,1712,9313163306,247
Oswaal CBSE Question Bank Class 10 Science Chapterwise and Topicwise (For March 2019 Exam),Not Available,4.6,184,9387504913,247,Oswaal CBSE Question Bank Class 10 Science Chapterwise and Topicwise (For March 2019 Exam),Not Available,4.5,1879,9387504913,247
Objective General English,S.P. Bakshi,4.2,"1,771",9351768449,154,Objective General English,S.P. Bakshi,4.3,10558,9351768449,160
10 Last Years Solved Papers: CBSE Class 10 for 2019 Examination,Not Available,4,99,9387660400,357,10 Last Years Solved Papers: CBSE Class 10 for 2019 Examination,Not Available,4.3,598,9387660400,390
One Indian Girl,Chetan Bhagat,3.6,"4,929",8129142147,96,One Indian Girl,Chetan Bhagat,4.2,37246,8129142147,112
How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry,Dale Carnegie,4.5,627,8175993952,88,How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry,Dale Carnegie,4.4,93,8175993952,125
Current Affairs Yearly  2019,Not Available,5,3,9313169886,124,Current Affairs Yearly  2019,Not Available,4.7,9,9313169886,124
The 7 Habits of Highly Effective People,Not Available,4,"1,093",1471131823,311,The 7 Habits of Highly Effective People,Not Available,4.4,2290,1471131823,373
Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth, Mahatma Gandhi,4.4,247,8172343116,99,Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth, Mahatma Gandhi,4.5,239,8172343116,166
The Theory of Everything,Stephen Hawking,4.5,531,8179925919,111,The Theory of Everything,Stephen Hawking,4.2,18,8179925919,190
Turning Points : A Journey Through Challanges: A Journey Through Challenges, A.P.J. Abdul Kalam - Abridged,4.7,409,9350293471,135,Turning Points : A Journey Through Challanges: A Journey Through Challenges, A.P.J. Abdul Kalam - Abridged,4.5,4059,9350293471,150
The Autobiography of Benjamin Franklin, Benjamin Franklin,4.1,253,8175993286,99,The Autobiography of Benjamin Franklin, Benjamin Franklin,4.5,90,8175993286,140
Grinding It Out: The Making of McDonald's, Ray Kroc,4.5,21,1250127505,280,Grinding It Out: The Making of McDonald's, Ray Kroc,4.5,26,1250127505,280
My Journey: Transforming Dreams into Actions, A.P.J. Abdul Kalam,4.7,587,8129124912,180,My Journey: Transforming Dreams into Actions, A.P.J. Abdul Kalam,4.6,3580,8129124912,112
Without Fear, Kuldip Nayar,4.7,95,9350292203,170,Without Fear, Kuldip Nayar,4.6,557,9350292203,186
A Century is not Enough: My Roller-coaster Ride to Success, Sourav Ganguly - Illustrated,4.6,322,9386228564,363,A Century is not Enough: My Roller-coaster Ride to Success, Sourav Ganguly - Illustrated,4.7,2653,9386228564,434
Narendra Modi: A political Biography, Andy Marino,4.4,92,9351770257,253,Narendra Modi: A political Biography, Andy Marino,4.5,194,9351770257,283
12 Years a Slave, Solomon Northup,4.5,41,8175994479,99,12 Years a Slave, Solomon Northup,4.4,56,8175994479,140
Albert Einstein: A Biography, Alice Calaprice,4.3,44,8184953542,263,Albert Einstein: A Biography, Alice Calaprice,4.5,157,8184953542,245
Touch the Sky: The inspiring stories of women from across India who are writing..., Rashmi Bansal - Abridged,3.7,38,9386850702,109,Touch the Sky: The inspiring stories of women from across India who are writing..., Rashmi Bansal - Abridged,4.3,104,9386850702,125
Devil's Advocate: The Untold Story, Karan Thapar,4.1,70,9352779843,370,Devil's Advocate: The Untold Story, Karan Thapar,4.6,108,9352779843,417
Jerusalem: The Biography, Simon Sebag Montefiore,4.6,17,1780220251,524,Jerusalem: The Biography, Simon Sebag Montefiore,4.4,66,1780220251,352
My Journey, Apj Abdul Kalam,4.6,61,8183224202,106,My Journey, Apj Abdul Kalam,4.3,176,8183224202,100
Lone Fox Dancing: My Autobiography, Ruskin Bond,4.8,99,9386338904,315,Lone Fox Dancing: My Autobiography, Ruskin Bond,4.7,135,9386338904,450
Inspiring Thoughts (Inspiring Thoughts Quotation Series), A.P.J. Abdul Kalam,4.1,148,8170286840,120,Inspiring Thoughts (Inspiring Thoughts Quotation Series), A.P.J. Abdul Kalam,4.2,357,8170286840,149
Ronaldo - 2018 Updated Edition: The Obsession For Perfection (Luca Caioli), Luca Caioli,5,9,1785782312,359,Ronaldo - 2018 Updated Edition: The Obsession For Perfection (Luca Caioli), Luca Caioli,4.3,26,1785782312,200
The Coalition Years, Pranab Mukherjee,3.6,39,8129149052,325,The Coalition Years, Pranab Mukherjee,4.6,207,8129149052,331
Unbreakable, Mary Kom,4.6,158,9351160092,145,Unbreakable, Mary Kom,4.5,553,9351160092,145
Pride & Prejudice, Jane Austen,4.3,352,8172344503,79,Pride & Prejudice, Jane Austen,4.4,629,8172344503,182
Rekha: The Untold Story, Yasser Usman,3.7,72,8193284186,256,Rekha: The Untold Story, Yasser Usman,4.3,127,8193284186,239
How to Memorize Anything: The Ultimate Handbook to Enlighten and Improve Your..., Aditi Singhal,4.4,147,8184005210,242,How to Memorize Anything: The Ultimate Handbook to Enlighten and Improve Your..., Aditi Singhal,4.3,598,8184005210,255
Pathways to Greatness, A.P.J. Abdul Kalam,4.7,13,9352643836,165,Pathways to Greatness, A.P.J. Abdul Kalam,4.6,483,9352643836,156
Inspiring Thoughts (Inspiring Thoughts Quotation Series), Swami Vivekanand,4.2,306,8170289262,107,Inspiring Thoughts (Inspiring Thoughts Quotation Series), Swami Vivekanand,4.1,499,8170289262,107
Meri Jeevan Yatra, A.P.J. Abdul Kalam,4.7,146,9350487977,150,Meri Jeevan Yatra, A.P.J. Abdul Kalam,4.4,305,9350487977,143
Autobiography of a Yogi (Telugu), Paramahansa Yogananda,4.7,114,8189955357,141,Autobiography of a Yogi (Telugu), Paramahansa Yogananda,4.5,59,8189955357,171
Ivory Throne: Chronicles of the House of Travancore, Manu S. Pillai,4.3,127,9351776425,433,Ivory Throne: Chronicles of the House of Travancore, Manu S. Pillai,4.6,371,9351776425,468
"Shirdi Sai Baba: Life, Philosophy & Teachings", Satish C. Agarwal,4.1,10,8175994711,159,"Shirdi Sai Baba: Life, Philosophy & Teachings", Satish C. Agarwal,4.4,13,8175994711,190
I Tagged Her in My Heart, Anuj Tiwari - Import,4.7,224,8129149567,100,I Tagged Her in My Heart, Anuj Tiwari - Import,4.5,452,8129149567,109
Sanjay Dutt: The Crazy Untold Story of Bollywood’s Bad Boy, Yasser Usman,4.2,37,9386228580,293,Sanjay Dutt: The Crazy Untold Story of Bollywood’s Bad Boy, Yasser Usman,4.5,122,9386228580,264
A Thousand Splendid Suns, Khaled Hosseini,4.5,729,1408844443,374,A Thousand Splendid Suns, Khaled Hosseini,4.5,2540,1408844443,309
Don'T Kill Him!: The Story Of My Life With Bhagwan Rajneesh, Ma Anand Sheela,3.6,32,8172344449,189,Don'T Kill Him!: The Story Of My Life With Bhagwan Rajneesh, Ma Anand Sheela,3.6,46,8172344449,188
Turning Points (Hindi), A.P.J. Abdul Kalam,4.7,409,9350641003,160,Turning Points (Hindi), A.P.J. Abdul Kalam,4.4,235,9350641003,185
